        

        ['Data','Conta cartão','Conta poupança','Conta salário','Conta corrente','Conta cartão de crédito'],
        [new Date('2012, 11, 16'),69,31,4,19,24],
        [new Date('2012, 11, 23'),64,25,3,18,19],
        [new Date('2012, 11, 30'),62,26,3,17,19],
        [new Date('2013, 0, 06'),79,32,4,19,25],
        [new Date('2013, 0, 13'),100,32,4,19,26],
        [new Date('2013, 0, 20'),81,33,4,20,26],
        [new Date('2013, 0, 27'),79,32,4,20,26],
        [new Date('2013, 1, 03'),80,32,4,19,26],
        [new Date('2013, 1, 10'),76,31,4,19,25],
        [new Date('2013, 1, 17'),79,33,4,20,26],
        [new Date('2013, 1, 24'),83,33,5,20,27],
        [new Date('2013, 2, 03'),82,33,4,20,27],
        [new Date('2013, 2, 10'),79,33,4,20,26],
        [new Date('2013, 2, 17'),77,33,4,20,27],
        [new Date('2013, 2, 24'),76,31,4,19,26],
        [new Date('2013, 2, 31'),75,31,4,19,25],
        [new Date('2013, 3, 07'),77,33,4,20,26],
        [new Date('2013, 3, 14'),81,33,4,20,27],
        [new Date('2013, 3, 21'),88,33,4,20,26],
        [new Date('2013, 3, 28'),75,30,4,19,25],
        [new Date('2013, 4, 05'),77,31,4,19,26],
        [new Date('2013, 4, 12'),76,32,5,19,26],
        [new Date('2013, 4, 19'),74,31,4,19,26],
        [new Date('2013, 4, 26'),73,31,4,19,26],
        [new Date('2013, 5, 02'),72,31,4,18,26],
        [new Date('2013, 5, 09'),73,31,4,18,25],
        [new Date('2013, 5, 16'),81,31,4,18,26],
        [new Date('2013, 5, 23'),80,31,5,18,26],
        [new Date('2013, 5, 30'),76,30,4,18,25],
        [new Date('2013, 6, 07'),75,30,4,19,26],
        [new Date('2013, 6, 14'),77,30,4,18,26],
        [new Date('2013, 6, 21'),74,30,4,18,26],
        [new Date('2013, 6, 28'),72,30,4,17,26],
        [new Date('2013, 7, 04'),71,29,4,18,26],
        [new Date('2013, 7, 11'),69,29,4,18,25],
        [new Date('2013, 7, 18'),71,29,4,18,25],
        [new Date('2013, 7, 25'),71,30,4,18,26],
        [new Date('2013, 8, 01'),71,29,4,18,25],
        [new Date('2013, 8, 08'),72,29,4,19,26],
        [new Date('2013, 8, 15'),72,29,4,19,25],
        [new Date('2013, 8, 22'),74,30,4,20,27],
        [new Date('2013, 8, 29'),72,29,4,20,25],
        [new Date('2013, 9, 06'),77,31,4,21,27],
        [new Date('2013, 9, 13'),92,30,4,20,26],
        [new Date('2013, 9, 20'),88,31,4,21,27],
        [new Date('2013, 9, 27'),79,29,4,20,27],
        [new Date('2013, 10, 03'),77,30,4,20,26],
        [new Date('2013, 10, 10'),79,30,4,20,28],
        [new Date('2013, 10, 17'),77,31,4,20,28],
        [new Date('2013, 10, 24'),74,30,4,20,26],
        [new Date('2013, 11, 01'),74,30,4,19,26],
        [new Date('2013, 11, 08'),73,29,4,19,27],
        [new Date('2013, 11, 15'),71,29,4,18,27],
        [new Date('2013, 11, 22'),66,23,3,17,20],
        [new Date('2013, 11, 29'),64,22,3,16,19],
        [new Date('2014, 0, 05'),71,28,4,18,25],
        [new Date('2014, 0, 12'),91,29,4,18,26],
        [new Date('2014, 0, 19'),85,30,4,19,27],
        [new Date('2014, 0, 26'),80,30,4,19,26],
        [new Date('2014, 1, 02'),75,29,4,18,26],
        [new Date('2014, 1, 09'),76,30,4,19,27],
        [new Date('2014, 1, 16'),78,30,4,19,28],
        [new Date('2014, 1, 23'),77,30,4,19,27],
        [new Date('2014, 2, 02'),75,31,4,19,27],
        [new Date('2014, 2, 09'),76,31,4,19,28],
        [new Date('2014, 2, 16'),77,31,4,19,27],
        [new Date('2014, 2, 23'),76,30,4,19,28],
        [new Date('2014, 2, 30'),74,29,4,19,27],
        [new Date('2014, 3, 06'),76,30,4,19,27],
        [new Date('2014, 3, 13'),78,29,4,18,27],
        [new Date('2014, 3, 20'),78,29,4,19,27],
        [new Date('2014, 3, 27'),76,27,4,18,25],
        [new Date('2014, 4, 04'),76,29,4,18,27],
        [new Date('2014, 4, 11'),74,29,4,18,27],
        [new Date('2014, 4, 18'),73,30,4,18,28],
        [new Date('2014, 4, 25'),72,29,4,18,26],
        [new Date('2014, 5, 01'),73,28,4,18,26],
        [new Date('2014, 5, 08'),70,27,4,18,25],
        [new Date('2014, 5, 15'),72,27,4,19,26],
        [new Date('2014, 5, 22'),70,28,4,19,26],
        [new Date('2014, 5, 29'),70,27,4,17,25],
        [new Date('2014, 6, 06'),70,28,4,17,26],
        [new Date('2014, 6, 13'),74,28,4,17,26],
        [new Date('2014, 6, 20'),76,27,4,17,26],
        [new Date('2014, 6, 27'),73,26,4,17,26],
        [new Date('2014, 7, 03'),73,27,4,17,26],
        [new Date('2014, 7, 10'),70,26,4,17,25],
        [new Date('2014, 7, 17'),72,27,4,18,26],
        [new Date('2014, 7, 24'),69,26,4,17,25],
        [new Date('2014, 7, 31'),69,27,4,18,25],
        [new Date('2014, 8, 07'),73,27,4,19,26],
        [new Date('2014, 8, 14'),73,27,4,20,26],
        [new Date('2014, 8, 21'),73,27,4,20,26],
        [new Date('2014, 8, 28'),70,27,4,18,25],
        [new Date('2014, 9, 05'),70,27,4,19,26],
        [new Date('2014, 9, 12'),76,28,4,19,27],
        [new Date('2014, 9, 19'),77,27,4,18,25],
        [new Date('2014, 9, 26'),79,27,4,19,27],
        [new Date('2014, 10, 02'),78,28,4,19,27],
        [new Date('2014, 10, 09'),78,27,4,19,27],
        [new Date('2014, 10, 16'),76,27,4,19,27],
        [new Date('2014, 10, 23'),69,27,4,19,25],
        [new Date('2014, 10, 30'),69,27,6,19,27],
        [new Date('2014, 11, 07'),69,27,5,19,27],
        [new Date('2014, 11, 14'),67,26,4,17,26],
        [new Date('2014, 11, 21'),60,21,3,15,19],
        [new Date('2014, 11, 28'),57,20,3,14,17],
        [new Date('2015, 0, 04'),65,25,4,16,24],
        [new Date('2015, 0, 11'),66,26,4,17,26],
        [new Date('2015, 0, 18'),70,27,4,18,26],
        [new Date('2015, 0, 25'),69,26,4,17,26],
        [new Date('2015, 1, 01'),71,27,4,18,27],
        [new Date('2015, 1, 08'),70,27,4,18,27],
        [new Date('2015, 1, 15'),68,26,4,17,26],
        [new Date('2015, 1, 22'),68,27,4,18,27],
        [new Date('2015, 2, 01'),68,27,4,18,27],
        [new Date('2015, 2, 08'),68,27,4,18,27],
        [new Date('2015, 2, 15'),67,27,4,18,27],
        [new Date('2015, 2, 22'),69,28,4,18,28],
        [new Date('2015, 2, 29'),65,26,4,17,27],
        [new Date('2015, 3, 05'),66,26,4,17,26],
        [new Date('2015, 3, 12'),73,27,4,18,27],
        [new Date('2015, 3, 19'),76,27,4,18,28],
        [new Date('2015, 3, 26'),68,25,4,17,26],
        [new Date('2015, 4, 03'),66,26,4,17,26],
        [new Date('2015, 4, 10'),66,26,4,17,27],
        [new Date('2015, 4, 17'),66,26,4,17,27],
        [new Date('2015, 4, 24'),63,26,4,17,26],
        [new Date('2015, 4, 31'),64,26,4,17,27],
        [new Date('2015, 5, 07'),64,26,4,16,27],
        [new Date('2015, 5, 14'),64,26,4,16,27],
        [new Date('2015, 5, 21'),62,26,4,16,27],
        [new Date('2015, 5, 28'),62,25,4,16,26],
        [new Date('2015, 6, 05'),61,25,4,16,27],
        [new Date('2015, 6, 12'),64,25,4,16,27],
        [new Date('2015, 6, 19'),63,24,4,16,27],
        [new Date('2015, 6, 26'),62,25,4,16,27],
        [new Date('2015, 7, 02'),60,24,4,17,26],
        [new Date('2015, 7, 09'),59,23,4,16,26],
        [new Date('2015, 7, 16'),61,24,4,16,26],
        [new Date('2015, 7, 23'),60,24,4,17,26],
        [new Date('2015, 7, 30'),62,24,4,17,26],
        [new Date('2015, 8, 06'),62,25,4,18,26],
        [new Date('2015, 8, 13'),61,25,4,18,26],
        [new Date('2015, 8, 20'),62,24,4,18,27],
        [new Date('2015, 8, 27'),61,25,4,18,26],
        [new Date('2015, 9, 04'),62,25,4,19,27],
        [new Date('2015, 9, 11'),62,25,4,19,27],
        [new Date('2015, 9, 18'),63,25,4,18,27],
        [new Date('2015, 9, 25'),63,25,4,18,27],
        [new Date('2015, 10, 01'),61,25,4,18,28],
        [new Date('2015, 10, 08'),59,24,4,17,26],
        [new Date('2015, 10, 15'),61,25,4,18,27],
        [new Date('2015, 10, 22'),57,25,3,17,26],
        [new Date('2015, 10, 29'),59,25,4,18,28],
        [new Date('2015, 11, 06'),58,25,4,17,28],
        [new Date('2015, 11, 13'),56,25,4,16,27],
        [new Date('2015, 11, 20'),49,21,3,14,22],
        [new Date('2015, 11, 27'),45,19,3,13,19],
        [new Date('2016, 0, 03'),48,24,4,15,25],
        [new Date('2016, 0, 10'),50,25,4,15,27],
        [new Date('2016, 0, 17'),54,26,4,16,27],
        [new Date('2016, 0, 24'),54,26,4,16,28],
        [new Date('2016, 0, 31'),54,27,4,16,28],
        [new Date('2016, 1, 07'),53,26,4,16,27],
        [new Date('2016, 1, 14'),54,26,4,16,28],
        [new Date('2016, 1, 21'),54,26,4,17,29],
        [new Date('2016, 1, 28'),55,27,4,17,29],
        [new Date('2016, 2, 06'),55,26,4,17,29],
        [new Date('2016, 2, 13'),55,27,4,16,29],
        [new Date('2016, 2, 20'),51,25,4,15,27],
        [new Date('2016, 2, 27'),54,25,4,16,28],
        [new Date('2016, 3, 03'),54,26,4,16,28],
        [new Date('2016, 3, 10'),54,26,4,16,28],
        [new Date('2016, 3, 17'),54,26,4,16,29],
        [new Date('2016, 3, 24'),54,25,4,16,28],
        [new Date('2016, 4, 01'),51,24,4,15,26],
        [new Date('2016, 4, 08'),52,26,4,16,28],
        [new Date('2016, 4, 15'),52,26,4,16,29],
        [new Date('2016, 4, 22'),51,26,4,15,29],
        [new Date('2016, 4, 29'),51,25,4,15,28],
        [new Date('2016, 5, 05'),50,25,4,15,29],
        [new Date('2016, 5, 12'),49,25,4,14,28],
        [new Date('2016, 5, 19'),50,24,4,15,28],
        [new Date('2016, 5, 26'),49,24,4,14,28],
        [new Date('2016, 6, 03'),46,22,4,14,26],
        [new Date('2016, 6, 10'),47,22,4,15,26],
        [new Date('2016, 6, 17'),48,23,4,15,27],
        [new Date('2016, 6, 24'),48,22,4,15,27],
        [new Date('2016, 6, 31'),47,22,4,15,27],
        [new Date('2016, 7, 07'),45,22,4,14,26],
        [new Date('2016, 7, 14'),43,20,3,14,23],
        [new Date('2016, 7, 21'),46,22,4,15,27],
        [new Date('2016, 7, 28'),46,22,4,15,26],
        [new Date('2016, 8, 04'),46,22,4,16,26],
        [new Date('2016, 8, 11'),48,22,4,16,26],
        [new Date('2016, 8, 18'),50,23,4,16,27],
        [new Date('2016, 8, 25'),49,22,4,17,27],
        [new Date('2016, 9, 02'),48,22,4,17,27],
        [new Date('2016, 9, 09'),47,22,4,16,27],
        [new Date('2016, 9, 16'),51,23,4,17,28],
        [new Date('2016, 9, 23'),50,24,4,16,29],
        [new Date('2016, 9, 30'),49,22,4,16,28],
        [new Date('2016, 10, 06'),49,23,4,17,29],
        [new Date('2016, 10, 13'),50,24,4,17,30],
        [new Date('2016, 10, 20'),47,24,4,16,29],
        [new Date('2016, 10, 27'),49,23,4,16,30],
        [new Date('2016, 11, 04'),47,23,4,16,29],
        [new Date('2016, 11, 11'),46,23,4,15,29],
        [new Date('2016, 11, 18'),43,22,4,14,28],
        [new Date('2016, 11, 25'),37,18,3,13,22],
        [new Date('2017, 0, 01'),42,20,3,13,25],
        [new Date('2017, 0, 08'),45,23,4,14,29],
        [new Date('2017, 0, 15'),46,23,4,15,29],
        [new Date('2017, 0, 22'),47,23,4,15,28],
        [new Date('2017, 0, 29'),47,23,4,15,29],
        [new Date('2017, 1, 05'),48,24,4,15,31],
        [new Date('2017, 1, 12'),48,24,4,16,31],
        [new Date('2017, 1, 19'),50,24,4,16,32],
        [new Date('2017, 1, 26'),49,25,4,16,32],
        [new Date('2017, 2, 05'),50,25,4,15,32],
        [new Date('2017, 2, 12'),51,24,4,15,32],
        [new Date('2017, 2, 19'),51,25,4,16,32],
        [new Date('2017, 2, 26'),50,24,4,16,33],
        [new Date('2017, 3, 02'),49,24,4,16,32],
        [new Date('2017, 3, 09'),46,23,4,15,30],
        [new Date('2017, 3, 16'),47,23,4,15,30],
        [new Date('2017, 3, 23'),49,24,4,15,31],
        [new Date('2017, 3, 30'),44,21,3,15,28],
        [new Date('2017, 4, 07'),47,23,4,15,31],
        [new Date('2017, 4, 14'),45,22,4,14,30],
        [new Date('2017, 4, 21'),44,21,4,14,30],
        [new Date('2017, 4, 28'),43,21,4,14,28],
        [new Date('2017, 5, 04'),41,21,4,13,29],
        [new Date('2017, 5, 11'),43,21,4,13,29],
        [new Date('2017, 5, 18'),42,21,4,13,30],
        [new Date('2017, 5, 25'),41,20,4,13,29],
        [new Date('2017, 6, 02'),41,20,3,13,28],
        [new Date('2017, 6, 09'),42,20,4,13,29],
        [new Date('2017, 6, 16'),43,20,4,13,30],
        [new Date('2017, 6, 23'),43,21,4,13,30],
        [new Date('2017, 6, 30'),42,20,4,13,30],
        [new Date('2017, 7, 06'),39,19,3,13,28],
        [new Date('2017, 7, 13'),39,19,3,13,27],
        [new Date('2017, 7, 20'),40,20,3,13,28],
        [new Date('2017, 7, 27'),41,19,3,13,28],
        [new Date('2017, 8, 03'),42,20,3,14,28],
        [new Date('2017, 8, 10'),45,20,3,15,30],
        [new Date('2017, 8, 17'),45,20,3,16,29],
        [new Date('2017, 8, 24'),45,20,3,15,29],
        [new Date('2017, 9, 01'),43,20,3,15,28],
        [new Date('2017, 9, 08'),45,21,4,16,30],
        [new Date('2017, 9, 15'),43,20,4,15,29],
        [new Date('2017, 9, 22'),45,21,4,15,30],
        [new Date('2017, 9, 29'),44,20,3,15,29],
        [new Date('2017, 10, 05'),46,21,3,16,31],
        [new Date('2017, 10, 12'),46,21,4,16,31],
        [new Date('2017, 10, 19'),42,20,3,15,29],
        [new Date('2017, 10, 26'),44,21,3,15,30],
        [new Date('2017, 11, 03'),44,21,3,15,31],
        [new Date('2017, 11, 10'),38,18,3,14,26]
